atom,resid,ATB_charges
CE1,terB,-0.401
HE1,terB,0.148
HE2,terB,0.253
CD1,terB,-0.184
HD1,terB,0.184
CD2,terB,0.431
HD2,terB,0.056
OD1,terB,-0.502
CD3,terB,-0.174
CD4,terB,-0.12
CD5,terB,0.258
HD3,terB,0.051
CA1,terB,0.618
OA1,terB,-0.52125
OA2,terB,-0.37225
CA2,terB,0.2755
CA3,terB,0.3475
NA1,terB,-1.0315
HA1,terB,0.342
HA2,terB,0.342
CB1,terB,0.618
OB1,terB,-0.52125
OB2,terB,-0.37225
CB2,terB,0.2755
CB3,terB,0.3475
NB1,terB,-1.0315
HB1,terB,0.342
HB2,terB,0.342
CD6,terB,-0.18
HD4,terB,0.18
CD1,OXO0,-0.184
HD1,OXO0,0.184
CD2,OXO0,0.431
HD2,OXO0,0.056
OD1,OXO0,-0.502
CD3,OXO0,-0.174
CD4,OXO0,-0.12
CD5,OXO0,0.258
HD3,OXO0,0.051
CA1,OXO0,0.618
OA1,OXO0,-0.52125
OA2,OXO0,-0.37225
CA2,OXO0,0.2755
CA3,OXO0,0.3475
NA1,OXO0,-1.0315
HA1,OXO0,0.342
HA2,OXO0,0.342
CB1,OXO0,0.618
OB1,OXO0,-0.52125
OB2,OXO0,-0.37225
CB2,OXO0,0.2755
CB3,OXO0,0.3475
NB1,OXO0,-1.0315
HB1,OXO0,0.342
HB2,OXO0,0.342
CD6,OXO0,-0.18
HD4,OXO0,0.18
CC1,terA,-0.105
HC1,terA,0.105
CC2,terA,0.208
CC3,terA,-0.223
HC2,terA,0.168
CC4,terA,-0.217
HC3,terA,0.155
CC5,terA,-0.142
HC4,terA,0.168
CC6,terA,-0.217
HC5,terA,0.155
CC7,terA,-0.223
HC6,terA,0.168
CD1,terA,-0.184
HD1,terA,0.184
CD2,terA,0.431
HD2,terA,0.056
OD1,terA,-0.502
CD3,terA,-0.174
CD4,terA,-0.12
CD5,terA,0.258
HD3,terA,0.051
CA1,terA,0.618
OA1,terA,-0.52125
OA2,terA,-0.37225
CA2,terA,0.2755
CA3,terA,0.3475
NA1,terA,-1.0315
HA1,terA,0.342
HA2,terA,0.342
CB1,terA,0.618
OB1,terA,-0.52125
OB2,terA,-0.37225
CB2,terA,0.2755
CB3,terA,0.3475
NB1,terA,-1.0315
HB1,terA,0.342
HB2,terA,0.342
CD6,terA,-0.18
HD4,terA,0.18
