atom,resid,100ps,200ps,300ps,400ps,500ps,600ps,700ps,800ps,900ps,1000ps,Mean_100-1
CE1,terB,-0.218446121,-0.1990484767,-0.2587879085,-0.2504316774,-0.2483497821,-0.3762190448,-0.3607444934,-0.1519466483,-0.2763746728,-0.2663513048,-0.260670013
HE1,terB,0.0634573037,0.1292383596,0.1188326479,0.1097775486,0.1054727424,0.1940966677,0.1541524558,0.0933871463,0.1213034983,0.1147448316,0.1204463202
HE2,terB,0.1549888173,0.0698101171,0.1399552606,0.1406541287,0.1428770397,0.1821223771,0.2065920377,0.0585595019,0.1550711745,0.1516064732,0.1402236928
CD1,terB,-0.134093005,-0.1187290509,-0.1178076784,-0.1153978307,-0.1215191293,-0.0797109112,-0.1145728182,-0.0917504543,-0.124766236,-0.1269273972,-0.1145274511
HD1,terB,0.134093005,0.1187290509,0.1178076784,0.1153978307,0.1215191293,0.0797109112,0.1145728182,0.0917504543,0.124766236,0.1269273972,0.1145274511
CD2,terB,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD2,terB,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
OD1,terB,-0.2269738678,-0.2878134887,-0.1423727334,-0.2000222264,-0.1083461666,-0.2452431499,-0.2096518392,-0.2079093942,-0.1714125934,-0.1937610642,-0.1993506524
CD3,terB,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD4,terB,0.0427265568,0.023008258,0.0739736383,0.0400163976,0.0662640745,0.0371679278,0.0444047996,0.0444181348,0.0586355935,0.0528308807,0.0483446262
CD5,terB,-0.0383493714,0.0113502149,-0.1528452357,-0.0896211101,-0.1447575908,-0.0126347145,-0.0744608147,-0.0244010967,-0.1216466122,-0.0767842634,-0.0724150595
HD3,terB,0.1091097485,0.1095482714,0.1500579641,0.1496158257,0.1326665997,0.0980883617,0.1348819347,0.083937659,0.1487173154,0.1208339148,0.1237457595
CA1,terB,0.6418876169,0.659132678,0.6694785592,0.6000192402,0.6469037311,0.5992242483,0.659228766,0.5771767419,0.6142931914,0.6363966826,0.6303741456
OA1,terB,-0.4925994048,-0.5037363585,-0.4976530917,-0.476678557,-0.495561725,-0.4671432081,-0.5147716728,-0.4780084523,-0.4888125784,-0.5166399171,-0.4931604966
